PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
Q12931,TRAP1,67919.5625,20346.85938,32191.48438,26972.62109,24585.9375,43345.30469,26402.39453,6973.391113,23748.60938,21296.69336,17583.04492,19193.93945,16414.875,20111.60156,44930.87891,36415.64844,30870.97461,25802.52344
Q13045,FLII,14046.48828,11464.92188,19569.42188,5041.249512,5511.808105,2056.284912,38568.17578,27371.61328,23676.92773,1416.08606,24962.91016,4964.717773,27194.69336,20231.79688,6804.805176,7614.389648,31162.58594,9897.939453
Q13084,MRPL28,4843.503906,7068.818359,13854.44824,5679.209473,5864.625488,25117.62305,2562.236328,5510.066895,6518.805176,4440.672852,1395.05481,6189.074707,11953.72656,11168.25098,3780.261719,1726.891113,8314.600586,13528.28906
Q13162,PRDX4,4072.298096,12778.57715,12992.55957,14427.83789,14312.1582,8294.582031,10066.43555,25109.17188,18569.27148,27242.65625,27342.38086,16338.28125,17542.36719,32455.28906,3586.041992,2153.074219,18392.07031,12235.12793
Q13200,PSMD2,4907.881348,2616.401855,5249.245117,16201.15039,10928.73926,15766.96387,3242.916016,3138.641357,5686.483398,7178.794434,6827.953613,3812.164795,3354.04541,2206.163574,4171.662598,10228.96484,3769.302002,2907.23999
Q13247,SRSF6,16444.03516,1180.329346,1185.452148,2190.710449,5005.104492,1201.635254,2198.459229,759.6655273,19449.50195,1634.151367,1343.529053,16304.23047,3012.164551,11817.82129,10955.14746,19086.54883,4974.961426,25600.51367
Q13263,TRIM28,6356.928223,3173.357178,12553.5498,3176.178223,15790.52246,5553.989746,3071.00293,2195.246338,2478.464844,5795.517578,32487.25586,5243.059082,4847.959961,36706.64063,3177.480225,3589.205811,50863.86719,20350.26172
Q13283,G3BP1,14333.58105,20573.83203,10791.77637,9907.787109,14333.64355,6520.410156,12707.77148,5829.19873,4076.17627,16213.06641,14657.53516,5990.582031,11132.85254,11628.30078,5358.833496,20666.16016,13804.83301,18610.20703
Q13427,PPIG,3433.459961,1474.866699,2091.459473,1841.437622,858.2724609,901.8476563,3633.276367,4495.979492,7416.895996,40690.78125,11075.37891,13908.69727,53135.50781,82911.74219,80807.46875,79007.07813,107810.0313,72111.21875
Q13428,TCOF1,3144.356934,1188.074707,1709.165283,1984.527588,1273.520996,1163.045044,3014.05127,1564.469238,1783.046631,20109.30273,25539.59766,22434.60547,2575.317871,2033.020264,5619.116211,2456.39209,5829.444336,2328.10498
